station,WNS,frequency,region,district,city,commercial,service_area,ownership_type,content_type,License?,Year Created,Year Ended,Email,Phone,latitude,Manager Name,Manager Contact,History,Notes,Website,Owner Organization,Owner Name,Owner Profession,Politics,Religion,International?,Partners,TADIO?,Internews/Boresha Habari?,UNESCO?,BBC National Conversation,BBC Media Action,Farm Radio International,Twaweza?,Khanga Rue,Media Council Tanzania,Tanzania Media Foundation,Deutsche Welle,Watts,Height,Reach,TO DO,Alternative Stations?,Column1,Column2,Column3
Safina FM,,,Arusha,Arusha,Arusha,Religious,Regional,Religious,Religious,,2009,,dchristlife@yahoo.com,0758 366518,-3.383333333,Hellen Lema,dchristlife@yahoo.com,Became regiona in 2013,,https://www.facebook.com/RadioSafina/,"https://www.jamiiforums.com/threads/safina-radio-arusha-tamaa-ya-pesa-itawamaliza-hakika.1245767/
Foundation information: https://www.jamiiforums.com/threads/watumishi-wa-safina-radio-arusha-acheni-kumuiga-mwl-mwakasege-mnaboa-sana.1172615/
'https://fullshangweblog.co.tz/2020/09/06/siri-ya-amani-ya-tanzania-ni-uwepo-wa-dini-majaliwa/
",Elder Daniel Lema,,,,,,,,,,,,,,,,,,,,,,,,
Shalom Radio FM,,97.3,Arusha,Arusha,Arusha,Religious,District,Religious,Religious,,,,,,"-3.3666834397974275, 36.687606169315785",,0754 511 061,,,https://shalomradioarusha.co.tz/about.html,"Kanisa la Pentekoste Arusha- Parish ya Kaloleni
http://kanisalapentecostearusha.blogspot.com/search/label/PRAYER",Pentecostal Church,Religious (Domestic),No,yes,No,,,,,,,,,,,,,,,,,,,,
Sunrise FM,,94.9,Arusha,Arusha,Arusha,Commercial,Regional,Prviate,Entertainment/Local News,,2011,,info@sunriseradio.co.tz,+255 754855724,-3.3444786571568375,,info@sunriseradio.co.tz,Arusha,"One Arusha sister married a white man and the aim of the radio was to employ the disabled and provide them with jobs because there is a radio station receiving foreign aid to pay for the disabled. It was in 2003

- Yesterday while the people of Arusha and its suburbs are eagerly awaiting the results of the Arumeru East constituency elections, SUNRISE RADIO FM did what it was supposed to do as an independent media outlet. Only this station decided to take on the responsibility of broadcasting all day long without hesitation to keep us informed of what was going on in Arumeru East. Again it is this station through its talented broadcasters who were in every corner of Arumeru this morning who announced LIVE the results of the Arumeru state election where a young fighter and commander Nassari emerged victorious.

- Unexpectedly today at 9pm the Arusha governor ordered a raid on a radio station (name withheld but not triple A).

-PRESS RELEASE
BROTHERS RELEASE SOME OF THE SUNRISE RADIO ARUSHA EMPLOYEES FROM TODAY DATE 22/8/2012 WE NEEDED IT.
THE STRIKE BEGUN AS A COLD STRIKE ON 10/8/2012 AFTER THE EIGHT FARMER'S CELEBRATIONS AND THIS IS AFTER A DIFFERENCE BETWEEN SUNRISE RADIO ARTICAL DIRECTOR BROTHER NUTOA WHO WAS THE RESPONSIBILITY TO DISPUTE DIRECT ADVERTISEMENTS i.e. LIVE FROM TASO EIGHTH STATES.
BROTHERS PRESS strike also came PIA NA KUTOFANYIWA WORK FOR CLAIMS OF STAFF, STAFF TUMEKUA Working vulnerable AS: -
a) TUNALIPWA salary paltry REQUIREMENTS (SALARY TO 100,000 AND OTHERS 170,000)
b) overworked WITHOUT HAVING TO CONTRACTS, TUKIDAI CONTRACTS TUNAPIGWA DATE
c) KUTOKATWA DEDUCTIONS on wages in favor of PENSIONS
d) SOME WORKERS overworked unpaid
e) NO Overtime PAYMENT
f) STAFF threatened with expulsion ALWAYS THERE WANAPODAI RIGHT ZAO
g) NO vacation
h) JOURNALISM Your Flagged LIVE ELECTION OF ARUMERU EAST ON 1/4/2012 DID NOT PAY THEIR POSITIONS UNTIL TODAY AND SOME CLAIMED AND FINALLY DISMISSED
i) the employee's salary delays PAID AS You'll find WAGES OF THIS MONTH WE PAID A MONTH BETWEEN OR END
j) technical director THREATS dismiss accounting for personal interest
k) STAFF WORKING SESSIONS NIGHT denials TRANSPORTATION WHEN THE GOING TO RETURN TO NOTHING THAT forces Him to let ANNOUNCER SLEEPING STUDIO
NECESSARY l) OFFICIAL VEHICLE NOT USED FOR OFFICE REQUIREMENTS BUT IN THE INTEREST OF THE PROFESSIONAL DIRECTOR
m) JULY MONTHLY SALARIES SUSPENDED FROM DATE 1/8/2012 TODAY TODAY TODAY REASONABLE CAUSES
BROTHERS JOURNALISTS, FOR THE ABOVE CLAIMS WE SUNRISE RADIO EMPLOYEES ARE NOT READY TO RETURN TO WORK UNTIL THE PROFESSIONAL DIRECTOR BROTHER DIONIS IS RELEASED
WE LOVE SUNRISE RADIO SO MUCH WITHOUT FORGETTING OUR AUDIENCE WE ALSO LOVE THEM VERY MUCH BUT WE HAVE FOUND IT IS GOOD TO PUT ALL THESE POINTS IN ORDER TO UNDERSTAND US AND IT IS ALSO ANSWER TO SOME QUESTIONS YOU HAVE ASKED US.
BROTHER JOURNALISTS SUNRISE RADIO EMPLOYEES WHO STRIKE TO WORK THEIR NUMBER ARE TWELVE (12) INCLUDING
a ) PUBLISHERS 4
b) REPORTS 2
c) MARKETERS 3
d) PRODUCERS OF 2 SHOWS AND
E) MHASIB
THESE EMPLOYEES HAVE STRIKE FROM THEIR ABOVE CLAIMS AS WELL AS MANY OTHER CLAIMS WHICH ARE NOT LISTED
NAMES OF THE STRIKING EMPLOYEES ARE THE FOLLOWING
1. SEVERINUS MWIJAGE Jr ?? ANNOUNCER
2. BEATRICE GERALD NANGAWE ?? ANNOUNCER
3. EMMANUE MWAKALUKWA ?? ANNOUNCER
4. JALACK ALLY ?? ANNOUNCER
5. HAMIS ABTWAY (DJ HAAZU) ?? ANNOUNCER, PRODUCER OF PROGRAMS AND DJ
6. BERTHA ISMAIL ?? REPORT
7. ONESMO LOY ?? REPORT
8. JOSEPH AMANI ?? PRODUCER OF SESSIONS
9. ALLY CHARO ?? MARKETING MANAGER
10. RODGERS I. NELSON ?? ACCOUNTANT
11. WITNESS RAYMOND ?? MARKETING
12. Alphonse Happyness ?? MARKETING

Thank you for listening

COPIES
1. MCT
2. TCRA
3. OFFICE OF THE REGIONAL COMMISSIONER (2008)

The allegation is that the station conducted an interview with ed. Lema and used the opportunity to insult RC. Police conducted a search and listened to records of the period and interrogated some of the staff for about three hours. Then they left claiming they would return if they found out something had happened.

SOURCE WAPO FM.",http://sunriseradio.co.tz,Aspire Media Company Limited,Maimilian Iranqe,Former mayor of Arusha (CCM),Yes,No,No,,,,,,,,,,,,,,,,,,,,
Triple 'A' FM Radio,,88.5,Arusha,Arusha,Arusha,Commercial,Regional,Private,Entertainment/Local News,,,,tripleatz@gmail.com,+255 754 333885 /784 281321,-3.383333333,,tripleatz@gmail.com,Arusha,,http://www.tripleafm.com/,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio Habari Maalum,,97.7,Arusha,Arusha,Ngaramtoni,Religious,District,Religious,Local News,2014,,,mbuludiocese@yahoo.com,,"-3.2908577081747263, 36.62677869685926",,mbuludiocese@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumuli Radio,,98.5,Bukoba,Bukoba,Bukoba,Commercial,District,Religious,Gospel,Yes,2019,,,0627 909 686,"-1.2079603874637979, 31.81780869097642",,,,,https://www.youtube.com/channel/UCV8XprfoIHi0BLPHOFwJ9tg,Rhema Outreach Ministries,Unknown,Pastor,No,Evangelical,,,,,,,,,,,,,,,,,,,,,
Arise FM,,97.1,Dar es Salaam,Dar es Salaam,Dar es salaam,,,,,,,,yazielynathan@gmail.com,,,,,,,https://www.arise-radio.com/,,,,,,,,,,,,,,,,,,,,,,,,,,
Azam FM Radio / UFM,,107.3,Dar es Salaam,Ilala,Dar es Salaam,Commercial,District,Private,News,,2018,,hassan.mhelela@azam-media.com,Tel: +255 687 030 580,"-6.816476749582331, 39.22560425514388",,,,,https://web.facebook.com/ufmradiotz/?_rdc=1&_rdr,Bakhresa Group / Azam Media Ltd,"Abubakar Said Salim Bakhresa 5%
Omar Said Salim Bakhresa 5%
Yusuf Salim Bakhresa 5%
Mohammed Salim Bakhresa 5%
Said Salim Bakhresa & Co. Ltd 80",,Partial,No,No,,,,,,,,,,,,,,,,,,,,
Capital Radio,,88.9,Dar es Salaam,Dar es Salaam,Dar es Salaam,Commercial,Regional,Private,"National News, Entertainment ",Yes,2009,,itv@ipp.co.tz,42537129319,"-6.765901794786722, 39.23617029029231",,itv@ipp.co.tz,"101.4 FM in Dar es Salaam, 101.2 FM in Mwanza, 103.3 FM in Moshi and 102.1FM in Arusha ","Capital FM is one of the three FM radio stations operated and managed under aegis of Reginald Mengi and Family Trust (99%) and Reginald Abraham Mengi (1%). The station commenced broadcasting together with Capital TV (television station) in 2009.

Capital FM is also 24-hours free to air radio station and also the commercial radio station with it’s headquartering in Dar es Salaam, Tanzania.

Their program covers a variety of issues from news, sports, current affairs show (local and international), lifestyle, entertainment, and others.

According to Tanzania Media Measurement report by GeoPoll, with audience statistics for quarter of 2, 2018, Capital FM audience share is ranked 8th with XX.XXX% among the top 20 radio stations within the country.

The information from IPP Media Limited, Business Registrations and Licensing Agency (BRELA), TCRA and other sources as indicated below shows that Reginald Mengi and Family Trust and Reginald Abraham Mengi are the owners of Capital FM radio with 99% and 1% respectively. Further to that, according to company profile requested at the Business Registrations and Licensing Agency (BRELA) shows that Dr. Reginald Mengi is also one of the directors and shareholder of IPP Media Limited.

Mengi was born in 1944 in Tanzania. He is a Tanzanian philanthropist, industrialist, media tycoon and the founder/Executive Chairman of IPP Group. He also is the vice president of the National Board of Accountants and Auditors, Tanzania. Mengi was featured in FORBES’ ranking of Africa’s richest people with a fortune of more than $400 million in 2015.",https://web.facebook.com/capitalradiotanzania/?_rdc=1&_rdr,IPP Media Limited,"Reginald Mengi & Family Trust 99%
Reginald Abraham Mengi 1%
Previously: Agapitus Leons Nguma",Business,Partial,No,No,,,,,,,,,,,,,,,,,,,,
Choice FM / Radio Choice,,102.5,Dar es Salaam,Kinondoni,Dar es Salaam,Commercial,Regional,Private,English only top-40,,2002,,cloudsfm@clouds.com,"+255 22 2123919
784 700488","-6.747683089577369, 39.240295346649006",Jonathan Othman Njaidi,,,Tanzania's favorite English only radio station,https://www.choicefm.com.cy/,Clouds Media,"Alex Kusaga
Joseph Kusaga
Ruge Mutahaba",Businessman,Partial,No,No,,,,,,,,,,,,,,,,,,,,
City FM,,91.7,Dar es Salaam,Kinondoni,Dar es Salaam,Government,District,State,Governmnet,Yes,2014,,,,"-6.820539348568897, 39.28713889739169",,,,,http://www.dcc.go.tz/project-details/city-fm-radio-917-mhz,City Council of Dar es Salaam,Government,Government,,,,,,,,,,,,,,,,,,,,,,,
Classic FM Radio,,103.3,Dar es Salaam,Dar es Salaam,Dar es Salaam,Commerical,District,Private,Music,,2006,,amgl@raha.com,2552116341,"-6.821929278536684, 39.28022458986118",,amgl@raha.com,,"Bought by CCM in 2018

Stakeholders, In a bid to save Africa Media Group, which is economically weak. The owner of Azamtv and SSB companies, Salim Bakhera has officially started serious negotiations with the owner of Channel ten, Mr. Rostam Azizi with the intention of buying the company.
https://www.jamiiforums.com/threads/mazungumzo-yaanza-bakhressa-kuinunua-channel-ten.1422863/

It is also alleged that Reginald Mengi was also on Channel ten. I will tell you more as the conversation progresses.
Need to find year started - it shows up on the first set of TCRA licenses


Established in October 1999, Africa Media Group Limited (AMGL), is a joint venture between DTV and Coastal Television Network (CTN) . The latter was the first channel registered with the Tanzania Broadcasting Commission on February 14th in 1994.

AMGL operates four TV channels: Channel Ten, DTV, CTN and C2C; and also runs two radio stations: Magic FM and Classic FM.

Ownership information about AMGL is hard to obtain: it is not registered as Internet Content Provider at the Tanzania Communications Regulatory Authority. The company has an incorporation number (40145). Its company profile was requested via custom search at the Business Registration and Licensing Agency, however, feedback is still pending.

Banned in 2016 - https://www.refworld.org/docid/57d0177514.html",,CCM,CCM,Government,Yes,No,No,,,,,,,,,,,,,,,,,,,,
Clouds FM / Clouds Entertainment Radio FM,,88.4,Dar es Salaam,Dar es Salaam,Dar es Salaam,Commercial,National,Private,Entertainment,1998,1998,,cloudsfm@clouds.com,255 22 2123919,"-6.749752806518198, 39.240613012104696",,cloudsfm@clouds.com,,"Clouds FM referred to as “The People’s Station” is a private radio station based in Dar es Salaam and owned by Clouds Media Group which also runs Clouds TV, Coconut FM and Choice FM in the electronic media industry.

Clouds FM was established in 1998 to cater for entertainment is one of the top rated radio stations in Tanzania. The Q2 2018 Geopoll survey ranked station the first nationwide among top 20 stations in terms of audience share (XX.XXX %). The survey also placed Clouds FM the first in the followings zones: Central (XX.XXX % Coastal (XX.XXX %), Lake Zone (XX.XXX %), Southern region (XX.XXX %) and Southern Highland region (XX.XXX %). The station is also popular in Dar es Salaam.

Clouds FM which broadcasts its program in Kiswahili is well received in Dar es Salaam, Mwanza, Arusha, Dodoma, Mbeya, Pemba, Mara, Tanga and Zanzibar.

The station’s early support of the local Bongo Flava genre, the use of frequencies end of regular FM dial coupled with quality programs have helped catapult it to take a lead in the listenership.

The station is owned by Clouds Media Group of which Joseph Kusaga, a seasoned entrepreneur, is the co-founder and Chief Executive Officer. Kusaga started off as a DJ and produced events and discotheques across Tanzania, before he co-founded C.L.O.U.D.S. (Cool, Lovable, Outrageous, Unique, Dynamic, Sound) FM. From the inception of CLOUDS, Kusaga has continued to build a strong portfolio of successful media, hospitality and technology firms. His partner throughout the years was Ruge Mutahaba who still is Director of Strategy and Programs Development at Clouds Media Group.

There is no company data at the Tanzanian Communication Regulatory Authority (TCRA) available. There is a company profile for Clouds Television at the Business Registrations and Licensing Agency (BRELA), according to which Alex Mkama hold 25% of the shares, just as much as Joseph Kusaga. Clouds Entertainment Limited holds 50% of shares.",,Clouds Media,"Alex Kusaga
Joseph Kusaga
Ruge Mutahaba",Businessman,Partial,No,No,,,,,,,,,,,,,,,,,,,,
East Africa Radio / Radio East Africa,,881,Dar es Salaam,Dar es Salaam,Dar es Salaam,Commercial,National,,Entertainment ,,,,info@eatv.tv,+255 22 2775916/4,"-6.755531086101979, 39.24922610846096",,info@eatv.tv,,,https://www.eastafricaradio.com/,IPP Media Limited,"Dr. Reginald Abraham Mengi
Previously: Agapitus Leons Nguma",Businessman,Partial,No,No,,,,,,,,,,,,,,,,,,,,
EFM / E-FM,,93.7,Dar es Salaam,Dar es Salaam,Dar es Salaam,Commerical,Regional,Private,Entertainment,,,,info@efm.co.tz,(+255) 22 2780320,"-6.74260204792214, 39.23774766841996",Scholastica Mazula,admin@efm.co.tz,Dar es salaam,"E-FM is a radio stations operate under the umbrella of E-FM Company Limited. It started its operations in 2014.

E-FM Company Limited is a private company that owns a TV (TV E) and a radio (E-FM radio) station. It was established in 2014. Its headquarter is in Dar es Salaam, Tanzania.

According to information from Business Registrations and Licensing Agency (BRELA), TCRA shows that E-FM Company Limited is established and owned by three relatives, whereby Francis Antony Ciza owns 40% shares, Jean Claude Ciza 40% shares and Justine Antoine Ciza 20% shares.

Apart from being one of the shareholder and CEO of E-FM Company Limited, Francis Antony Ciza owns more than one night club located in various regions in the country. He also is a former Disc Jockey (DJ Majizzo) at Magic FM radio.

In 2017, Francis Antony Ciza was arrested by the Police in connection with drugs (heroin) offences, however, he was released for the lack of evidence.

E-FM is the 24-hours free to air radio station, and the commercial radio station with its headquarter centered in Dar es Salaam, Tanzania. E-FM programs covers a variety of issues from news, sports, current affairs show (local and international), lifestyle, entertainment, and others.

As stated by the Tanzania Media Measurement report by GeoPoll, with audience statistics Q2, 2018, E-FM radio audience share is ranked 3rd with XX.XXX% among the top 20 radio stations within the country.

On April 2nd, 2014 E-FM stated broadcasting on trial basis and its full service was opened on the same year, where it became a popular entertainment radio among youth listeners in Dar es Salaam and other 8 regions in the country.

E-FM Company Limited also owns a TV station known as TVE. According to information from Business Registrations and Licensing Agency (BRELA), TCRA and other sources show that the company is owned by three relatives: Francis Antony Ciza 40% shares, Jean Claude Ciza 40% shares and Justine Antoine Ciza 20% shares. They are shareholders as well as directors.

Also apart from being one of the shareholder and CEO of E-FM Company Limited, Francis Antony Ciza owns more than one night club located in various regions in the country and he is a former DJ at Magic FM radio.",,,"Justina Antoine Ciza 20 %
Francis Antony Ciza 40%
Jean Claude Ciza 40%",Entertainers / Business,,,,,,,,,,,,,,,,,,,,,,,
Entertainment FM,,,Dar es Salaam,Kinondoni,Dar es Salaam,Commercial,Community,Private,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cant find any informatin about this radio,,,,
Magic FM,,92.9,Dar es Salaam,Ilala,Dar es Salaam,Commercial,Regional,Private,Entertainment/National News,,,, channelten@amlg.co.tz,,"-6.815523888365336, 39.283382267693995",, channelten@amlg.co.tz,Dar es salaam,"
Established in October 1999, Africa Media Group Limited (AMGL), is a joint venture between DTV and Coastal Television Network (CTN) . The latter was the first channel registered with the Tanzania Broadcasting Commission on February 14th in 1994.

AMGL operates four TV channels: Channel Ten, DTV, CTN and C2C; and also runs two radio stations: Magic FM and Classic FM.

Ownership information about AMGL is hard to obtain: it is not registered as Internet Content Provider at the Tanzania Communications Regulatory Authority. The company has an incorporation number (40145). Its company profile was requested via custom search at the Business Registration and Licensing Agency, however, feedback is still pending.

Banned in 2016 - https://www.refworld.org/docid/57d0177514.html",,CCM,CCM,Government,Yes,No,No,,,,,,,,,,,,,,,,,,,,
Maria / Radio Maria,,89.1,Dar es Salaam,Kinondoni,Dar es Salaam,Religious,Regional,Religious,Religious / News,1996,1996,,info.tan@radiomaria.org,,"-6.767210071719916, 39.237574271831264","Paolo Taffuri, coordinator",info.tan@radiomaria.org,Moved from Songea in 2003,"Started in Songea. Radio Maria Tanzania is a broadcast Radio station from Dar es Salaam, Tanzania, playing Catholic, Christian and Gospel music as part of Radio Maria network of radio stations based in Milan, Italy.

Radio Maria Tanzania is a radio station, which broadcasts from Dar es salaam It is part of the Radio Maria network of Radio stations based in Milan, Italy. The pattern of programmes in Radio Maria Tanzania are mainly based on four groups such as catholic spirituality and knowledge, news and information, human promotion and welfare and lastly social and entertainment. It plays mostly Catholic, Christian and gospel music.

According to Ng’atigwa (2013), Radio Maria Tanzania (hereafter RMT) with the motto “A Christian Voice in Your Home” is a FM radio station which was established in 1996 in the municipality of Songea, in Southern Tanzania. The establishment of RMT was a result of the initiatives made by the then Archbishop Norbert Mtega, of the Catholic Archdiocese of Songea in his meeting with the President of the Association of the World Family of Radio Maria Italy in Uganda in 1995. According to Tanzania Communication Regulatory Authority (TCRA), RMT is owned by World Family of Radio Maria Africa 51%, and by Fondazione Formare for the remaining 48%.

RMT is owned and managed by the Association of Radio Maria Tanzania Company Limited. The members of the Association of Radio Maria Tanzania include “married and non-married people, religious brothers and nuns, priests and bishops; however, the radio is not owned by a specific catholic diocese in Tanzania or the Tanzania Episcopal Conference.

Due to logistic and operational problems in Songea, RTM relocated its main studio to Mikocheni area in Dar es Salaam, in 2003. The station was registered by the TCRA under the non-commercial licensing category to operate as a religious radio station with priority for religious content and goals. As a condition under this licence category, commercial advertisements are forbidden.

According to Audience share based on GeoPoll survey (2018), Radio Maria is ranked 10th with 2.07% of the share market among the top 20 stations in Tanzania and in the Central Region having a share of XX.XXX%  in comparison with other religious radio in the country.

As of July 2011, RMT covered 13 dioceses out of the 33 Catholic dioceses in Tanzania. However, through its satellite transmission which is boosted by eight transmitters located in different areas in Tanzania, the broadcasts of the radio station reach almost the whole Tanzania. Also, RMT is accessible online through www.radiomaria.co.tz and can be reached through messages in its Facebook account.",,"Association of Radio Maria Tanzania Company Limited
World Family of Radio Maria Africa 
Fondazione Formare","World Family of Radio Maria Africa 51%
Fondazione Formare 48%",Church,No,Yes,yes,,,,,,,,,,,,,,,,Find out when it moved,,,,
Mlimani FM,,106.5,Dar es Salaam,Dar es Salaam,Dar es Salaam,University,District,University,Entertainment/National News,2009,2003,,ijmc@udsm.ac.tz,,"-6.769642234321154, 39.25003805901067",,ijmc@udsm.ac.tz,Dar es salaam,,,University of Dar es Salaam School of Journalism,University of Dar es Salaam School of Journalism,University,No,No,No,,,,,,,,,,,,,2000,40&60,50,,,,,
Morning Star Radio / Hope Channel Tanzania,,105.3,Dar es Salaam,Kinondoni,Dar es Salaam,Religious,District,Religious,Religious,,2006,,morningstar_tz@yahoo.com,+255 756 677677,"-6.582217700532332, 39.1280719684192",,morningstar_tz@yahoo.com,"AT LONG LAST Morning Star expansion has started. The first phase includes Changing Dar Equipments from one KW to 2KW, installing equipments in Mwanza, Mbeya, Arusha, Musoma, and Kigoma. The next phase will cover Tanga, Morogoro, Tabora and Iringa. Let us pray for the exercise. Above is the Morning Star team at Mikocheni, Dar es salaam early March 2012.

The pairing of this radio station, began in the nineties, when in 2000 the leaders of the churches of Dar es Salaam met and devised an effective strategy to establish a radio station, then known as TAWR (Tanzania Adventist World Radio).
In 2001, a feasibility study for the establishment of the Center began under the communications unit of the Tanzania Church Headquarters known as TAMC (Tanzania Adventist Media Center).
After effective strategies were completed, construction of the radio station officially began in 2002, in the area of ​​Mikocheni B, in Dar es Salaam, construction which continued and was largely completed in 2003.
On October 1, 2003, the station launched its first broadcast as
experiments, using a 500 watt telecommunications transmitter, and since then the trip
The broadcast was heard on the air!
In the eleventh month of 2003, the center was officially opened by the Visiting Guest
the activity, Pastor Jan Paulsen, coming as President of the Seventh-day Adventist church
The world, from the United States where the World Church headquarters is located, is located.
Two weeks after the official opening of the station, the broadcasting station
which was tied to the B-handles where the studios are located, failed to work
due to an electrical fault, a problem that arose after heavy rains.
Attempts to rehabilitate him failed.
which led to interactions with other media, and the station was temporarily closed
and the communications commission, to provide for the amendment. The station returned
again in his state and continued advertising after two years later.
In the fifth month of 2005, new broadcasting equipment was introduced to resume advertising. Such imports
it took three months, and in the eighth month the equipment arrived and installation began immediately, this time the plant
being relocated to Kisarawe, Coast Province.
After the installation of the plant was completed, in August 2005, the launch of the pilot ads
it started immediately, with the trial taking about a month, until the ninth month!
On the 26th of May 2006, at 11:00 pm, the station fired
live broadcasts for the first time, after experimental advertising
completed!
Since then, Morning Star Radio has continued to broadcast its broadcasts to date,
where different people have been greatly blessed by these advertisements, and by
indeed this center has been a great blessing to thousands of Tanzanian residents
and the world in general where advertising
of this Radio is audible",,Tanzania Union Mission of Seventh day Adventist Church,"Tanzania Union Mission of Seventh Day Adventist Church
SDA Church 100%",SDA Church 100%,Church,No,Yes,No,,,,,,,,,,,,,,,,,,,,
