Radio Station,ID,Village,Ward,District,Region,Problem,POST STATUS,Posting Status COMMENTS,Treatment Assignment,Block,Status,Success?,2015 DIWANI PART,2015 DIWANI %,Follow up?,How far to go,transpot proposed,proposed cost,per diem needed?,Date aired 1,Date Aired 2,Neema's Updates,Follow Up?,,RESPONSE FROM CALLS TO THE VILLAGE,Notes,Talk to District Level,Text messages,Pictures,Website post,Date Reporting,Problem Notes,2015 President CCM %,2015 MP Party,PRESIDENT %,MP %,Political Party of Dawani,Political Party of Mwinyikiti,CCM Vote %,Longtitude,Latitude,Population,Male,Female,Households,new,longitude_capital,Longitude
Dodoma FM,11,Banyibani,Hogoro,Kongwa,Dodoma ,Water,pictures and audio available,"posted, needs audio",Treatment,1,Aired,,CCM,96.24%,,sleep at kongwa so as to go on both banyibani and mkutani in two days,public transport and bodaboda,,YES,4/3,4/6,aired and paid,,,The Village Government managed to pay money to ensure electricity was available in the water well.,"Children ave to skip classes to help their parents fetch water, this village has not received water for years, leading to its people walk for hours to get water, Not haveng water has had many challenges to villegers like they face epidemic diseases like diarreah, stomach diseases. It used to have a well pump but it broke. Now citizens need water. Mwenyekitinsaid that it has been a challenge for years, now people walk for 6KM to fetch water. We have reported to DUWASA people about this issue and they are willing to help. Diwani when interviewed he said that, He is aware of the issue, and they told him they will come and fix the isse soon. They will drill new well. We went to DUWASA and he said they have two water spots(checkpoints) and there is a new water project to increase two more water spots(Checkpoints) and also we will drill two more wells, so that water can be of aboundance.  He urget the people of Zinje to pay the bills and protect the infrastucture. ",,,,yes,25-Mar,,CCM,CCM,67%,65.80%,,,,,,4702,2283,2419,1069,,"-6.182841562028282, 35.746711592270745","-5.8847213, 36.3409808"
Dodoma FM,12,Nagulo Bahi,Bahi,Bahi,Dodoma ,Health,pictures and audio available,posted,Treatment,2,Aired,,NIL,NIL,,3hrs from dodoma mjini,public transport and bodaboda,"16,000",NO,4/24,4/27,aired and paid,,,Citizens have donated money for the construction of the clinic but the construction process has not yet begun,"No sound effects but the quality is good. The issue is the clinic. The nearest clinic is 14km away and the health center is in singida, or they go to the Bahi district hospital. Health cneter is 20km and hospital is 14km away. This village was founded in 1954. So why is there still no clinic in this area? The journalist went on to ask people what the primary issues are: pregnant woman are mothering and whe people are sick they are going to die and when you have little money they are going to use your money. The sitution gets worse in the rainy seasonbecause the prices for the boda boda are high and they will not take you alll the way to the hospital, so you have to walk. The journalist did too many interviews with the local villagers. They said that they have a place for the clinic and they have built up to the level basement that is at the first stage of building; THere seem to be negligence and corruption in this village. Block shave been made by the MP and the villagers, but no one knows where they went. But everything eseems to have been reallocated to the secondary school for that village. They had wanted the clinic but the local government prioritized the school. Every household had to contribute 5,000 each but then no one knew where the money went. MP has promised to bring 100 bags of cement. THey said they need 100,000,000 but they only have 2,000,000. There is somehting fishy going on in this village. They did not go any higher to the district level. villagers have been contributing and they have build this hospital to the level, so what is going on there. MP has promised to bring all these things to this area, but no action has been taken - people need help. They need to visit the DMO or the DED to find out what is going onl.",,,,,,,CCM,CCM,80.60%,78.70%,,,,,,5862,2773,3089,1254,,"-6.182841562028282, 35.746711592270746","-6.5961372, 35.6367191"
Dodoma FM,13,Lugala / Kawawa,Mbalawala,Dodoma Urban,Dodoma ,Water,only pictures available,no  audio,Treatment,3,Aired,,CCM,63.65%,,2hrs,public transport and bodaboda,7000,NO,5/1,5/4,aired and paid,,,The administration managed to open one water tank; none other has been taken over by DUWASA or the DISTRICT Government,"Water in this village has been an issue for a long time, people walk for like 5 Km to fetch water, and they share water with livestock animals like cows and goats.  Water infastructre has been bult but has been broken, they have oly one tap water, and water is not running there. Also Due to this isse, other problems like deseases have risen. also there has been conflict between community members because water is not enough also family conflicts becasue of women use much time fetching water, people dont engage much in economic activities because they use much of there time fetching water.  MWenyekiti admited of this issue and he says that that well they have can only accocodate 40 households but they have 1000+households in Mkangala vilage. Diwani said They are working with MP of dodoma to  help in the problem, He also said RUWASA did come and survey the water sorce, but they are yet to deliver.  And Diwani promised that they will get water. Journalist went to interview RUWASA manager. He said, They have already done the research, surveyors went to survey and they have already draw the map for water infrastructure. , They are now waiting money to come and the budget is for 2022-2023. Or they are tryibg to get money from an emergency fund of Pay for results (P4R). ",Ruwasa,Yes,,,29-Apr,"The local people of Chihikwi dodoma city are facing a water challenge despite the fact that Chihikwi is dodoma city
Most people have continued to buy water from some people who have been selling it in containers.",CCM,CCM,67%,65.80%,,,,,,4639,2210,2429,1047,,"-6.182841562028282, 35.746711592270747","-6.0425891, 35.6253182"
Dodoma FM,14,Chiwondo,Dabalo,Chamwino ,Dodoma ,Water,pictures and audio available,posted,Treatment,4,Aired,,CCM,77.99%,,fo should settle at dabalo,public transport and bodaboda,,YES,5/8,5/9,aired and paid,,,No any response from government nor the villagers,"They fetch water farand they use water from a Dam, Water in the dam is not clean and safe, They are suffering from diarrer and stomach diseases. People say they dont know why thelocal leaders are doing. There is an NGO whoich come and drilled one well to one seb village but its not enough. They go up to 4 KM to fetch water, If you cant go that far you have to pay Tsh. 500 per bucket. This village has 8 subvillages. They have reported this to local leaders but not much has been done. They dont engage in economic activities due time they use in fetching water. Jounalist talked to VEO, and he said they are still finding NGOs (Innovation Africa) and have built 3 wells in 3 sub villages, Other sub villages they walk 6 KM to find water, These wells use solar. There is one investor who built one well and he sellls one bucket for Tsh. 150 compared to Th. 50 from Innovation Africa. We alredy built dams, for livestock, irrigation and some use it for drinking if they boil that water. Government has drilled one well and we are still mobilizing. Like Diwani and MP are the ones who brought Innovations africa. Diwani addmited, that this Chiwondo village has a huge water shortage, And we have found Innovations Africa which uses sollar energy. We want to build one well there. Als we have Water vision is ready to help, They are about to do survey in one sub village. They have agreed with RUWASA to reconstruct water infrastructure in Chiwondo. RUWASA manager said,  Chiwondo we have 2 project one is still under constuction,One has (14) water spots and the other has (9) water spots. and one is not completed.  But the wells use the Solar power, so if sun is not there, then its hard to get water.  We have water tanks to store water.  In terms of saltness in water, we dont build water well which is not in Tanzanian qualities. So they are not too salty.  ",,,,,,,CCM,CCM,84.90%,76.40%,,,,,,2453,1204,1249,554,,"-6.182841562028282, 35.746711592270748","-5.7169186, 36.2348665"
Dodoma FM,15,Chitabuli,Membe,Chamwino ,Dodoma ,Water,only audio available,"posted, no pictures",Treatment,5,Aired,,CCM,62.16%,,2.5hr from dodoma mjini,public transport and bodaboda,24000,NO,5/22,5/25,aired and paid,,,RUWASA officials arrived at the village to begin assessing the situation.,"Since the village started, it has not received any water source, no infrastucture no wells drilled. This forces the people freom chitabuli to go and fetch water at Membe village, where by for now as we are reporting, water pump has broken down and there is no source of power. villagers complain that they get deseases when they use unsafe water from a pool near their village and they fail to engage in productivion aas theyt need to fetch water. Mwenyekiti said he is aware of the issue and he has already repoeted to the Diwani of Membe ward, Our jounalist visited the Diwani and he said, that RUWASA people are planing to come and drill water. Also they plan to bring a generator to power the water source in Membe ward. He also said that they will build the water infrastuctre which was there before. Then we went to ask RUWASA said they plan to gring geerato very soon they will take it from a nearby village, because now they are using solar power to power their water source. but to add to that they will drill the new will in  chitabuli village and repair the broken infrastructure. this will be implemented in the budget of 2021-2022. ",,,,,,,CCM,CCM,84.90%,76.40%,,,,,,,,,,1,"-6.182841562028282, 35.746711592270749","-5.8922630, 36. 1724070"
Dodoma FM,16,Mkutani,Hogoro,Kongwa,Dodoma ,Water,"pictures, audio and video are available",posted,Treatment,6,Aired,,CCM,96.24%,,75km-6hrs from dodoma town,public transport and bodaboda,"40,000",YES,5/16,5/18,aired and paid,,,The government through the district representative managed to reach the village there and conduct an assessment of digging ditches for the installation of a water pipe network; Exercise has begun to excavate the terrace and water pipes have reached the village.,"Kijiji cha Mundemu  kina  vitongoji saba ambapo vitongoji vitatu wanakabiliwa zaidi changamoto ya maji huku vitongoji vingine wakipata maji kwa shida na hii ikisababishwa na upatikanaji wa vichoteo vichache vya maji.
Hali ambayo baadhi ya wananchi kuamua kutumia maji ya Visima vya kienyeji vya kuchimba wenyewe.

Baadhi ya wananchi wa kijiji cha Mkutani wilayani Kongwa mkoani Dodoma wakielezea changamoto ya umbali wa upatikanaji maji safi na salama ilivyo ndani ya kijiji chao.

Wamesema kuwa wamekuwa wakitumia maji ya mto ambayo yanatumiwa vilevile na wanyama wakiwemo Ng'ombe,mbuzi ,kondoo n.k
Aidha wamesema walichimbiwa kisima cha maji lakini umbali wa kufuata maji katika kisima hicho ni changamoto kubwa kutokana sehemu kisima hicho kinapopatikana.

Wananchi hao wamesema wanatembea kilimoter sita  kufuata huduma ya maji",,,,,,,CCM,CCM,84.90%,76.30%,,,,,,,,,,,"-6.182841562028282, 35.746711592270750","-5.9209566, 36,3100074"
Dodoma FM,17,Miganga,Mkonze,Dodoma,Dodoma ,Water,pictures and video available,missing audio,Treatment,7,Aired,,CCM,79.39%,,1hr,public transport ,2000,NO,6/5,6/8,aired and paid,,,RUWASA managed to reach the village there and dig a water well; Water has flowed out of Ruwasa's efforts,"Water infrastructer have only reached some parts of this street, which makes it very hard for people of migaganga to access clean and safe water, Water runs only once a week making people to use water from a pool, which is not safe, and its far, like 4 hours to get there. Diseases have been common and making people use much of their time to fetch water rather than engaging in economicn activities.  Water is expensive too they sell tsh. 700 per gallon, We went to ask mwenyekiti about this issue, he said its true, becasue some parts of this street are mountanious making it difficult to access water, He wrote alleter to diwani to make him aware of the issue. Becasue there are some water wells but they are broken. Diwani said there is an ongoing project which will make water be accessible to all. But he urged that, if people can drill their own wells, they should kindly do so to help the community.  DUWASA (water authority in dodoma) manager said, its true that water runs in shifts in the city of dodoma, but they have ongoing peoject which, when complete, will make a huge impact to water availability. Also they have tanks that cn be used to relief people of Mkonze ward. ",,,,,,,CCM,CCM,67%,65.80%,,,,,,,,,,1,"-6.182841562028282, 35.746711592270751","-6.2353398, 35.7119277"
Dodoma FM,18,Nzinje,Mkonze,Dodoma urban,Dodoma,Water,"pictures, audios and videos are available",posted,Treatment,8,Aired,,CCM,79.39%,,1hr,public transport and bodaboda,5000,NO,6/12,6/15,aired and paid,,,The government through DUWASA reached Nzinje Street and started conducting water challenge assessments; DUWASA started deploying machinery but the vehicle that was supposed to go to do the operation got into trouble before reaching Nzinje,,,,,,,,CCM,CCM,67%,65.80%,,,,,,,,,,1,"-6.182841562028282, 35.746711592270752","-6.1695999, 35. 6385345"
Dodoma FM,19,Asanje,Babayu,Bahi,Dodoma,Water,audio and video available,posted,Treatment,9,Aired,,CCM,77.68%,,2hrs from dodoma town,public transport and bodaboda,"20,000",YES,6/19,6/22,aired and paid,,,The village leadership has contacted the council director; The district government has not taken any action after being challenged.,"Residents of Asanje village have been walking 4 km to find clean and safe water. and water they fetch is not safe and clean, leading to disieses eruption everytime. The well they use to have broke long ago. The main sorce of water in this village is rain water from the water ponds in the village. They use alot of time to find water, and not engaging enough in economic activities. Mwenyekiti says he reported the issue to Diwani, Also people are unwilling to contribute to water projects becasue the village has iron mining and mining does not help or contribute anything to the village. Diwani said water is not flowing becasue the water infrastructure broke, and the water pipes are not of good quality. He added, RUWASA is currently working on this, now they have 200milions to work in this. , RUWASA manager when our jounalist visited, he said, they have a water source they will use the same well found in the village, and set up new infrastructure. They have already received a budget for this project, to be started soon. ",,,,,,,CCM,CCM,80.60%,78.70%,,,,,,"2,086","1,020","1,066",423,,"-6.182841562028282, 35.746711592270753","-5.7222676, 357284158"
Dodoma FM,20,Masinyeti,Iduo,Kongwa,Dodoma,Water,"pictures, audios and videos are available",posted,Treatment,10,Aired,,CCM,79.01%,,can go one day with lengaji by sleeping over to kibaigwa,,,YES,6/26,6/29,aired and paid,,,,"Its the village whose citizens have to walk 4 JM to find safe and clean water. They go to a nearby village which has a well. This issue leads to village having low income becasuse they use huge amount of time to fetch water, an not engaging in productive economic activities. Also it leads into conflicts in the HH and and women have to face thieves while walking to fetch water. If they need to buy water its expesinve up to Tsh. 500 per bucket.  Mwenyekiti said that RUWASA come and tried todrill the well, but it seem water was very deep. so they failed, now they are planing to come back. Diwani said that he talked to RUWASA, and they are in the nearby village drilling the well, so after they finish, they will come back to this. RUWASA manager, said, they have a project in 6 villages and Masenyeti is one of them, so they will come and drill, the drilling equipments are in a neaby village and they will come soon to drill a deeper well. ",,,,,,,CCM,CCM,84.90%,76.30%,,,,,,2587,1264,1323,458,,"-6.182841562028282, 35.746711592270754","-6.2631900, 36.6493200"
Highlands FM,21,Nsenga,Swaya,Mbeya,Mbeya,Water,,,Control,1,,,CCM,56.57%,,1hr,public transport,10000,NO,,,,,,,,,,,,,,CCM,CCM,56.40%,51.60%,,,,,,3121,1459,1662,789,,"-8.910636160633713, 33.43493719049383","-8.909352285889387, 33.48989392823308"
Highlands FM,22,Iwindi,Iwindi,Mbeya,Mbeya,Water,,,Control,2,,,CCM,71.12%,,30 min,public transport,1000,NO,,,,,,,Residents of Iwindi village are at risk of contracting an epidemic following the challenge of water scarcity since the village's inception which has led some villagers to fail to engage in economic activities and waste too much time fetching water without knowing the source of the problem.,,,,,,,CCM,CCM,56.40%,51.60%,,,,,,6307,3058,3249,1478,,"-8.910636160633713, 33.43493719049384","-8.9969322, 33.3837282"
Highlands FM,23,Nyeregete,Rujewa,Mbarali,Mbeya,Health,,,Control,3,,,CHADEMA,49.21%,,4 hrs,public transport,10000,NO,,,,,,,"Nyeregete Village has a Health Care Challenge where the Dispensary is far away with only two staff members.

According to one citizen, ""Dispensaries are far from fragrant. Only a handful of patients, even pregnant women, are cleansed. Even if you go with a patient, you are still clean before being given a service, that is, an empty problem,"" said the citizen.",,,,,,,CCM,CCM,54.10%,43.90%,,,,,,,,,,1,"-8.910636160633713, 33.43493719049385","-8.7071178, 34.3810896"
Highlands FM,24,Mpombo,Bujela,Rungwe,Mbeya,Education,,,Control,4,,,CCM,74.89%,,2hrs,public transport and bodaboda,15000,NO,,,,,,,"Bujela is one of the largest wards in Rungwe district but Bujela Secondary School has fewer students due to the people of the ward not realizing the importance of children going to school.

Some parents strongly encourage children to engage in agriculture rather than focus on education so many children fail to graduate from high school due to the challenge.",,,,,,,CCM,CCM,52.70%,49.40%,,,,,,481,244,237,130,,"-8.910636160633713, 33.43493719049386","-9.1847289, 33.7897382"
Highlands FM,25,Mamba A,Mamba,Chunya,Mbeya,Health,,,Control,5,,,CCM,79.56%,,1 hr from Makongolosi,Public transport ,FO will have to sleep over at achunya makongolosi for him to go 2 villages in two days,YES,,,,,,,"Crocodile Village (A) Despite having a Dispensary But it is far from Human Settlements while also having a Deficit of Providers (only two Nurses).

The situation leads to a large queue of people going to get services while others are unable to get services because of queues.",,,,,,,CCM,CCM,63.70%,54.90%,,,,,,7812,3716,4096,1362,,"-8.910636160633713, 33.43493719049387","-8.1475020, 33.2601431"
Highlands FM,26,Usoha Muungano ,Maendeleo,Mbeya,Mbeya,Health,,,Control,6,,,CCM,40.69%,,1hr,Public transport  and bodaboda,10000,NO,,,,,,,"Wananchi wanatembea umbali wa zaidi ya kilometa 5 kufuata huduma za Afya ambapo kuna athari kadhaa zimejitokeza ikiwemo vifo.
Wananchi wametumia nguvu Zao binafsi kuanza ujenzi wa zahanati lakini hakuna msaada wowote wa serikali kuu. ",,,,,,,CCM,CCM,56.40%,51.60%,,,,,,,,,,,"-8.910636160633713, 33.43493719049388","-8.8945689, 33.4313452"
Highlands FM,27,Ifumbo,Ifumbo,Chunya,Mbeya,Infrastructure,,,Control,7,,,CCM,64.81%,,2.5hrs,Public transport  and bodaboda,15000,YES,,,,,,,,,,,,,,CCM,CCM,63.70%,54.90%,,,,,,,,,,,"-8.910636160633713, 33.43493719049389","-8.7071430, 33.2827994"
Highlands FM,28,Iyalanyala    /    Itewe,Itwewe,Mbeya,Mbeya,Infrastructure,"pictures, audio and videos are available",posted,Treatment,1,Aired,,CCM,80.22%,,1hr,public transport,"10,000",NO,6/17,6/19,aired and paid,,,No any response from government nor the villagers,"The roads of Ilayanyala village are so poor to the extent that sometimes they fail to travel becasue of the poor roads. Women give birth on the way, when they try to reach the clinic. Agriculture products like yams, potatoes and some vegitables prish on the way to the markets leaving the farmers with a huge loss becasue of the roads. Even accidents have been common nowadays due to this. People want the government to repair the roads because they are suffering. We asked mwenyekiti of Iyalanyala village and he admited that roads are very bad. Trying to solve this on his own, he tried to mobilize the villegers to repair the roads, and they did but rains damaged it again now they want te government to come and help. Because this road is under TARURA and they are responsible, He also reported it to Diwani so that he can present it at the district council for budget allocation. We went to Diwani (CHADEMA) and he said he has presented it to the district council, in the council, every Diwani has the same issue, which is poor infrastructure. and the district has no funds, also he said the TARURA people dont have enough funds to mantain roads, they are given little money by the central government, So he urged the government to increase funding the TARURA people so that they can mantain and build more roads. Our Journalist went to TARURA manager who oversees Mbeya city and Mbeya rural districts. And he said he is aware of this issue and its true that the roads is under TARURA monitoring, But he said he does not have funds for the repair of this road in 2021-2022 budget which was approved by the parliement recently. But he said they will ask the government to consider this road in the budget of 2022-2023. And also he is thinking about filling an emergency budget so as they can repair this road as an emergency, he faild to promise about this emergency issue. But our journalist will keep on folowing up. ",,,,,,,CCM,CCM,56.40%,51.60%,,,,,,482,232,250,125,,"-8.910636160633713, 33.43493719049390","-8.5357335, 33.3689665"
Highlands FM,29,Wambilo,Utengele Usongwa,Mbeya,Mbeya,Water,pictures and audio available,"posted, needs audio",Treatment,2,Aired,,CHADEMA,52.16%,,1hr,public transport and bodaboda,"20,000",NO,6/24,6/26,aired and paid,,,No any response from government nor the villagers,"Residents of  Iwambilo are in danger of getting epidemic diseases due to lack of clean and safe water since the village was formed. This issue has led to poeple not engaging in economic activities. The well is far, and when they go there, the meet with thieves. and if they want to buy, its expensive, like Tsh. 1000 per bucket. Mwenyekiti sai, they had water from Danish people, but they have no water now, The government took over the project, but the project failed, The infrastructure failed, He wrote a letter to RUWASA. the main issue is that there is no infrastructure. He admited to the acts of thefty and rape attempts. Diwani said this issue is a hug problem for more than 20 years. He said he did not hear complains of the isues of thefty when people fetch water. Diwani says he has faith in the government and they will receive water. MP was asked about the issue.And he said that RUWASA is responsible, There are some projects that ere there, the government has set aside the budget, and there will be water soon. there is more than 2 billions to solve water issue in this ward. The projects are ongoing, cant promise when the will be completed. Our journalist went to RUWASA and he spoke to engeenier. they have project to bring water to 6 villages. The budget of 2022-2023 we will set budget for this village. ",,,,,,,CCM,CCM,56.40%,51.60%,,,,,,,,,,1,"-8.910636160633713, 33.43493719049391","-8.8771485, 33.2948790"
Highlands FM,30,Lurwa   /     Igurusi,Igurusi,Mbarali,Mbeya,Education,"pictures, audio and videos are available","posted, need to add video",Treatment,3,Aired,,CCM,58.33%,,1hr,public transport,"10,000",NO,7/1,7/3,aired and paid,,,citizens contribute to the construction of classrooms and pay for part-time teachers,"Since the policy of free education for primary school. recruitment has been high ever sicne. Igurusi Primary School is facing shortage of teachers as well as a shortage of materials (textbooks) where it has been a major challenge for the school.

This issue of teacher shortages and shortage of materials (textbooks) is leading students to fail in their studies as many things are not read. Villegers have tried to consult thegraduate teachers who are unemployed and pay them so that they can help teachers in Igurusi primary school and pay them from their pockets. Students confirmed this and what they want is materials and more teachers. They want government to employ more teachers. Headmasher added that they also need 13 houses for teachers, and the school need repair. 

The people of Igurusi Village have been reporting to the Ward Councilor several times about the matter. But there is still no implementation. Diwani said that its true we are facing thi challenge, educaion is most important priority, we have received few teachers from the new government empoyment. District Education officer, said this schoo is facing shortage of 8 teachers.and the issue of recruitng teachers is done by the ministry of TAMISEMI we and if they recruit we only allocate tem depending of shortage. government is doing good to improve the education harmonization as well as people are very willing to contribute in evey possibe way.  He urged the privete sector and the . MP said, Government has recruited teachers in education sector. So igurusi will receive teachers. ",,,,,,,CCM,CCM,54.10%,43.90%,,,,,,2743,1352,1391,695,,"-8.910636160633713, 33.43493719049392","-8.8271121, 33.8529998"
Highlands FM,31,Ndubi,Ndubi,Rungwe,Mbeya,Health,"No pictures, audio, videos",posted,Treatment,4,Problem,,NIL,NIL,,1.5hrs from makongolosi,,,,,,CANCELED,,,No updates,"The people of the ward have no dispensaries and they are completing the dispensary in the neighboring ward of Mpuguso where there is a challenge for the people to get health care.

There are times when many pregnant women give birth at home, however, the clinic is overburdened with over-serving services.",,,,,,,CCM,CCM,52.70%,49.40%,,,,,,2001,926,1075,530,,"-8.910636160633713, 33.43493719049393","-9.360, 33.6354"
Highlands FM,32,Isangawana,Matigwa,Chunya,Mbeya,Water,"pictures, audio and videos are available","posted, need to add video",Treatment,5,Aired,,CCM,52.39%,,,public transport,"10,000",YES,7/8,7/10,aired and paid,1,,Government officials have visited the ongoing water / pipeline project,"The village is like 250 Km from Mbeya city, There was a water project but the water infrastructure were delivered in some sub villeges and some did not receive which made the citizens confused.  They said that they thought water was not going to be an issue when the water project arrived. The project has been ongoing on for more than 10 years.Now they are still using water from wells and rivers. which led to diseses, not engagin in economic activities, Mwenyekiti said that the issue is true, women go to fetch water far and when they arrive there they encounter long waiting que. Mwenyekiti said that she has spoke to the people who brought water infrastucture and they said that when the project is complete everyone will receive water, Many villegers think this project is bias, as they pass to areas whith government agencies.  Diwani said water is still a challege to many villeges in his ward, When the project completes everyone will be allowed to conect water from the water spots. H esaid te wells are not providing clean and safe water. He is collaborating with MP and contractors, He promised that, before dry season ends, water will come. RUWASA said that the project has reached two villegers and its 80% complete, we have puild a pump house, treatment house, we have build a fance to protect water source, also the tank is complete, electricity is ready and water pipes are done. The budget for completing this projetc is here and money is going to arrive. Water in this village will be delivered in by August 30th. ",,,,,,,CCM,CCM,63.70%,54.90%,,,,,,,,,,,"-8.910636160633713, 33.43493719049394","-7.58183640786747, 33.303070799904"
